text,true_emotion,predicted_emotion
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,joy
@harrietemmett great minds think alike. ,joy,joy
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,sadness
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany ,sadness,anger
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,anger
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,sadness
If Angelina Jolie can't keep a man no one can. Today we mourn because Love is dead,sadness,sadness
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
